entry_time,exit_time,symbol,strike,dte,entry_price,exit_price,pnl,pnl_pct
2026-02-24 09:35:00,2026-02-24 09:42:00,SPY,679.0,0,1.25,1.85,60.00,48.00
2026-02-24 10:15:00,2026-02-24 10:28:00,QQQ,599.0,1,2.10,2.45,35.00,16.67
2026-02-24 10:45:00,2026-02-24 11:35:00,AAPL,261.0,2,3.50,3.20,-30.00,-8.57
2026-02-24 14:20:00,2026-02-24 15:10:00,NVDA,174.0,2,4.20,4.85,65.00,15.48
2026-02-25 09:40:00,2026-02-25 09:48:00,TSLA,392.0,0,5.30,6.10,80.00,15.09
2026-02-25 10:20:00,2026-02-25 11:05:00,SPY,679.0,1,1.45,1.75,30.00,20.69
2026-02-25 11:30:00,2026-02-25 14:20:00,AMD,194.0,2,2.80,2.50,-30.00,-10.71
2026-02-25 14:45:00,2026-02-25 15:35:00,META,637.0,2,6.20,6.85,65.00,10.48
2026-02-26 09:32:00,2026-02-26 09:40:00,SPY,679.0,0,1.30,1.95,65.00,50.00
2026-02-26 10:10:00,2026-02-26 10:55:00,QQQ,599.0,1,2.25,2.65,40.00,17.78
2026-02-26 14:15:00,2026-02-26 15:50:00,NVDA,174.0,2,4.10,3.85,-25.00,-6.10
2026-02-27 09:45:00,2026-02-27 09:53:00,AAPL,261.0,0,3.60,4.25,65.00,18.06
2026-02-27 10:25:00,2026-02-27 11:40:00,MSFT,390.0,1,5.10,5.55,45.00,8.82
2026-02-27 13:50:00,2026-02-27 15:20:00,SPY,679.0,2,1.50,1.35,-15.00,-10.00
2026-02-28 09:38:00,2026-02-28 09:46:00,TSLA,392.0,0,5.40,6.30,90.00,16.67
2026-02-28 10:18:00,2026-02-28 11:10:00,QQQ,599.0,1,2.15,2.50,35.00,16.28